o,资源开始帧,资源结束帧,帧率,中心点x,中心点y,是否混合,颜色值,Y偏移
打击一_钝器,10,12,8,55,80,0,0,150
打击二_钝器,13,15,8,70,80,0,0,150
打击三_钝器,16,18,8,70,80,0,0,150
打击一_刀类,1,3,8,55,80,0,0,150
打击二_刀类,4,6,8,70,80,0,0,150
打击三_刀类,7,9,8,70,80,0,0,150
打击一_刀类new,96,98,8,165,165,0,0,150
打击二_刀类new,99,101,8,165,165,0,0,150
打击三_刀类new,102,104,8,165,165,0,0,150
暗属性攻击_1,26,31,5,217,185,0,0,150
暗属性攻击_2,32,37,5,217,185,0,0,150
火属性攻击,38,50,3,164,119,0,0,150
光属性攻击,51,56,4,217,185,0,0,150
冰属性攻击_1,57,69,3,163,120,0,0,150
冰属性攻击_2,69,81,3,163,120,0,0,150
格挡火花,91,95,8,65,70,0,0,150
